"elevation","genus","area","herbivory","diversity","plotID"
"high","Miconia",33.33333333,0,0,27
"high","Miconia",106.25,2,2,28
"high","Miconia",555.5555556,1,1,29
"high","Miconia",152.7777778,45,3,30
"high","Miconia",38,0,0,31
"high","Psychotria",256.9444444,18,4,1
"high","Psychotria",83.33333333,4,2,2
"high","Psychotria",105.4,13,3,3
"high","Psychotria",243.0555556,7,3,4
"high","Psychotria",275,0,0,5
"high","Psychotria",27.77777778,0,0,6
"high","Psychotria",260,18,4,7
"high","Psychotria",233.3333333,10,1,8
"high","Psychotria",145.8,3,1,9
"high","Psychotria",510,10,2,10
"high","Psychotria",152.7777778,3,2,11
"high","Psychotria",437.5,1,2,12
"high","Psychotria",138.8888889,0,0,13
"high","Psychotria",95.83333333,0,0,14
"high","Psychotria",306.6,8,3,15
"high","Psychotria",58.33333333,0,0,16
"high","Psychotria",291.6666667,5,4,17
"high","Psychotria",222.2222222,0,0,18
"high","Psychotria",252.0833333,1,1,19
"high","Psychotria",15,0,0,20
"high","Psychotria",145.8333333,0,0,21
"high","Psychotria",93.75,9,2,22
"high","Psychotria",120.8333333,29,1,23
"high","Psychotria",239.4,1,1,24
"high","Psychotria",53.3,8,1,25
"high","Psychotria",194.4444444,1,1,26
"high","Psychotria",192.5,15,2,27
"high","Psychotria",125,0,0,28
"high","Psychotria",53.3,2,2,29
"low","Piper",375,0,0,1
"low","Piper",602.7777778,55,4,2
"low","Piper",266.7,7,3,3
"low","Piper",108.3333333,0.75,1,4
"low","Piper",79.1,15,3,5
"low","Piper",126.3888889,17,4,6
"low","Piper",211.1111111,0,0,7
"low","Piper",171.5277778,2.5,2,8
"low","Piper",169.2,8,3,9
"low","Piper",444.4444444,15,4,10
"low","Piper",46.6,4,1,11
"low","Piper",241.6,8,1,12
"low","Piper",303.4722222,6,3,13
"low","Piper",200,4,2,14
"low","Piper",77.77777778,3,1,15
"low","Piper",200,45,2,16
"low","Piper",152.7777778,20,3,17
"low","Piper",65.97222222,30,3,18
"low","Piper",233.3333333,2,3,19
"low","Piper",173.6111111,20,3,20
"low","Piper",207.6388889,40,2,21
"low","Piper",70,10,2,22
"low","Piper",389.5833333,0,0,23
"low","Piper",480,20,3,24
"low","Piper",126.7,30,3,25
"low","Piper",128.3,10,1,26
"low","Piper",112.5,0.75,1,27
"low","Piper",200,3,1,28
"low","Piper",660,3,2,29
"low","Piper",70,2,1,30
"low","Miconia",175.6944444,2,1,1
"low","Miconia",244.4444444,25,3,2
"low","Miconia",135.4166667,1,2,3
"low","Miconia",114.5833333,15,2,4
"low","Miconia",144.4444444,5,4,5
"low","Miconia",83.33333333,1,2,6
"low","Miconia",153.3,15,2,7
"low","Miconia",72.91666667,2,2,8
"low","Miconia",260.4166667,5,2,9
"low","Miconia",170,4,2,10
"low","Miconia",490,30,3,11
"low","Miconia",453,2,1,12
"low","Miconia",90,10,3,13
"low","Miconia",105.5555556,20,4,14
"low","Miconia",59.02777778,87,3,15
"low","Miconia",208.3333333,3,2,16
"low","Miconia",380,20,3,17
"low","Miconia",364.5833333,1,2,18
"low","Miconia",916.6666667,3,3,19
"low","Miconia",1093.75,15,4,20
"low","Miconia",240,12,3,21
"low","Miconia",125,10,3,22
"low","Miconia",153.3,8,4,23
"low","Miconia",337.5,1,1,24
"low","Miconia",111.8055556,2,1,25
"low","Miconia",105.5555556,5,2,26
"low","Miconia",166.6666667,3,1,27
"low","Miconia",62.5,4,2,28
"low","Miconia",329.8611111,9,5,29
"low","Miconia",140,10,1,30
"low","Psychotria",155.5555556,4,3,1
"low","Psychotria",243,0,0,2
"low","Psychotria",444.4444444,1,1,3
"low","Psychotria",422.2222222,7,3,4
"low","Psychotria",533.3333333,10,3,5
"low","Psychotria",195,8,1,6
"low","Psychotria",475,2,2,7
"low","Psychotria",80,1,2,8
"low","Psychotria",250,5,1,9
"low","Psychotria",402.7777778,3,2,10
"low","Psychotria",422.2222222,0,0,11
"low","Psychotria",294,5,3,12
"low","Psychotria",333.3333333,1,1,13
"low","Psychotria",555.5555556,65,6,14
"low","Psychotria",362.5,0,0,15
"low","Psychotria",105,0,0,16
"low","Psychotria",165,10,2,17
"low","Psychotria",180,0,0,18
"low","Psychotria",411.1111111,1,1,19
"low","Psychotria",436.8055556,4,2,20
"low","Psychotria",180,1,1,21
"low","Psychotria",437.5,1,1,22
"low","Psychotria",291.6666667,0.5,1,23
"low","Psychotria",430.5555556,0,0,24
"low","Psychotria",192,0,0,25
"low","Psychotria",362.5,7,2,26
"low","Psychotria",520,75,3,27
"low","Psychotria",437.5,6,3,28
"low","Psychotria",340.2777778,8,2,29
"low","Psychotria",622.2222222,0,0,30
